id,name,category,subcategory,brand,unit_cost,base_price,shelf_life_days
PRD-0001,Aashirvaad Atta 5kg,Grocery,Flour & Grains,Aashirvaad,160,210,365
PRD-0002,Fortune Sunflower Oil 1L,Grocery,Edible Oil,Fortune,95,130,540
PRD-0003,Tata Salt 1kg,Grocery,Staples,Tata,12,18,730
PRD-0004,India Gate Basmati 5kg,Grocery,Rice,India Gate,280,380,365
PRD-0005,Parle-G Biscuits 800g,Grocery,Snacks,Parle,38,55,90
PRD-0006,Britannia Marie Gold 400g,Grocery,Snacks,Britannia,28,42,90
PRD-0007,Maggi Noodles 560g (8pk),Grocery,Instant Food,Nestle,72,95,360
PRD-0008,Knorr Soup Mix 44g,Grocery,Instant Food,Knorr,22,35,540
PRD-0009,Haldiram Bhujia 400g,Grocery,Snacks,Haldiram,55,85,90
PRD-0010,MDH Chhole Masala 100g,Grocery,Spices,MDH,28,45,365
PRD-0011,Everest Garam Masala 50g,Grocery,Spices,Everest,22,38,365
PRD-0012,Tata Tea Gold 500g,Grocery,Beverages,Tata Tea,90,135,540
PRD-0013,Bru Coffee 200g,Grocery,Beverages,Bru,95,145,540
PRD-0014,Kissan Mixed Fruit Jam 500g,Grocery,Spreads,Kissan,72,98,365
PRD-0015,Amul Ghee 1L,Grocery,Dairy Products,Amul,380,490,90
PRD-0016,Horlicks Junior 500g,Grocery,Health Drinks,Horlicks,185,260,365
PRD-0017,Complan 500g,Grocery,Health Drinks,Complan,195,275,365
PRD-0018,Saffola Gold Oil 1L,Grocery,Edible Oil,Saffola,110,155,540
PRD-0019,Surf Excel 1kg,Grocery,Detergent,Surf Excel,155,210,730
PRD-0020,Ariel Matic 1kg,Grocery,Detergent,Ariel,145,200,730
PRD-0021,Amul Dahi 400g,Dairy,Curd,Amul,32,48,7
PRD-0022,Mother Dairy Paneer 200g,Dairy,Paneer,Mother Dairy,65,88,5
PRD-0023,Amul Butter 500g,Dairy,Butter,Amul,210,270,30
PRD-0024,Amul Taaza Milk 1L,Dairy,Milk,Amul,48,62,2
PRD-0025,Nestle Munch Milkshake 180ml,Dairy,Flavoured Milk,Nestle,25,38,10
PRD-0026,Amul Cheese Slices 200g,Dairy,Cheese,Amul,95,130,30
PRD-0027,Epigamia Greek Yogurt 90g,Dairy,Yogurt,Epigamia,28,45,14
PRD-0028,Coca-Cola 2L,Beverages,Carbonated,Coca-Cola,52,75,90
PRD-0029,Pepsi 2L,Beverages,Carbonated,Pepsi,50,72,90
PRD-0030,Tropicana Orange 1L,Beverages,Juices,Tropicana,65,95,60
PRD-0031,Real Guava Nectar 1L,Beverages,Juices,Dabur Real,58,88,60
PRD-0032,Red Bull 250ml,Beverages,Energy Drinks,Red Bull,70,115,540
PRD-0033,Bisleri Water 1L,Beverages,Water,Bisleri,8,15,365
PRD-0034,Paperboat Aamras 250ml,Beverages,Juices,Paperboat,18,30,90
PRD-0035,Tomato (1kg),Fresh Produce,Vegetables,Local Farm,20,40,4
PRD-0036,Onion (1kg),Fresh Produce,Vegetables,Local Farm,22,38,14
PRD-0037,Potato (1kg),Fresh Produce,Vegetables,Local Farm,18,30,21
PRD-0038,Banana (Dozen),Fresh Produce,Fruits,Local Farm,28,45,5
PRD-0039,Apple Shimla (1kg),Fresh Produce,Fruits,HP Orchards,80,130,10
PRD-0040,Capsicum (500g),Fresh Produce,Vegetables,Local Farm,22,38,5
PRD-0041,Cauliflower (1pc),Fresh Produce,Vegetables,Local Farm,18,30,5
PRD-0042,Mango Alphonso (1kg),Fresh Produce,Fruits,Ratnagiri,120,200,4
PRD-0043,Watermelon (1pc),Fresh Produce,Fruits,Local Farm,55,90,5
PRD-0044,Spinach (250g),Fresh Produce,Vegetables,Local Farm,12,22,3
PRD-0045,Lizol Floor Cleaner 1L,Household,Floor Cleaners,Lizol,92,140,1095
PRD-0046,Harpic Toilet Cleaner 1L,Household,Toilet Cleaners,Harpic,82,125,1095
PRD-0047,Colin Glass Cleaner 500ml,Household,Glass Cleaners,Colin,48,75,1095
PRD-0048,Scotch Brite Pad (10pc),Household,Cleaning Aids,Scotch-Brite,40,65,
PRD-0049,Good Knight Refill,Household,Pest Control,Good Knight,55,85,1095
PRD-0050,Odomos Mosquito Repellent,Household,Pest Control,Odomos,48,75,1095
PRD-0051,Vim Dishwash Bar 400g,Household,Dishwash,Vim,28,45,1095
PRD-0052,Godrej Jumbo Cello Bag,Household,Storage,Godrej,55,90,
PRD-0053,Prestige Pressure Cooker 3L,Household,Cookware,Prestige,550,850,
PRD-0054,Pigeon Non-Stick Tawa 24cm,Household,Cookware,Pigeon,340,550,
PRD-0055,Dove Shampoo 650ml,Personal Care,Hair Care,Dove,195,285,1095
PRD-0056,Head & Shoulders 340ml,Personal Care,Hair Care,H&S,185,265,1095
PRD-0057,Colgate MaxFresh 300g,Personal Care,Oral Care,Colgate,68,98,1095
PRD-0058,Oral-B Toothbrush (2pk),Personal Care,Oral Care,Oral-B,70,110,
PRD-0059,Dettol Soap 75g (4pk),Personal Care,Soaps,Dettol,72,110,1095
PRD-0060,Lux Soap 100g (3pk),Personal Care,Soaps,Lux,55,85,1095
PRD-0061,Nivea Men Face Wash 100ml,Personal Care,Skin Care,Nivea,95,155,1095
PRD-0062,Parachute Coconut Oil 500ml,Personal Care,Hair Care,Parachute,88,135,1095
PRD-0063,Gillette Mach3 Razor,Personal Care,Grooming,Gillette,95,175,
PRD-0064,Whisper Ultra 30 Pads,Personal Care,Feminine Care,Whisper,88,140,
PRD-0065,Syska LED Bulb 9W,Electronics,Lighting,Syska,85,149,
PRD-0066,Philips Extension Board 4m,Electronics,Accessories,Philips,280,499,
PRD-0067,boAt Bassheads 100 Earphones,Electronics,Audio,boAt,350,699,
PRD-0068,Realme Buds 2 Earphones,Electronics,Audio,Realme,480,999,
PRD-0069,TP-Link Mini Plug,Electronics,Smart Home,TP-Link,650,1299,
PRD-0070,Bajaj Mixer Grinder 500W,Electronics,Appliances,Bajaj,1800,3499,
PRD-0071,Usha Table Fan 400mm,Electronics,Appliances,Usha,1400,2499,
PRD-0072,Orient Wall Fan 400mm,Electronics,Appliances,Orient,1100,2199,
